"","X","state","communityname","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ6","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","LemasPctOfficDrugUn","ViolentCrimesPerPop"
"11","  13","25","Needhamtown"," 1","0.03","0.47","0.01","0.96","0.13","0.02","0.29","0.32","0.20","0.52","0.04","1.00","0.80","0.55","0.18","0.87","0.51","0.07","0.55","0.82","0.78","0.77","0.62","0.14","0.54","0.46","0.01","0.07","0.07","0.07","0.89","0.24","0.55","0.29","0.73","0.10","0.88","0.13","0.38","0.20","0.18","0.50","0.87","0.90","0.87","0.73","0.33","0.48","0.00","0.03","0.01","0.25","0.28","0.26","0.25","0.13","0.13","0.11","0.10","0.87","0.05","0.18","0.19","0.50","0.55","0.25","0.83","0.02","0.25","0.5","0.01","0.94","0.78","0.00","0.26","0.29","0.01","0.15","0.71","0.69","0.68","0.60","0.82","1.00","0.87","0.40","0.39","0.46","0.00","0.00","0.22","0.66","0.82","0.66","0.73","0.03","0.18","0.59","0.00","0.06"
"12","  14","55","GrandChutetown"," 1","0.01","0.44","0.00","0.98","0.04","0.01","0.35","0.53","0.32","0.23","0.02","0.77","0.46","0.77","0.41","0.73","0.28","0.10","0.22","0.47","0.41","0.40","0.38","0.32","0.09","0.75","0.00","0.07","0.20","0.22","0.42","0.13","0.76","0.67","0.24","0.42","0.47","0.37","0.39","0.27","0.32","0.47","0.88","0.92","0.88","0.82","0.56","0.60","0.00","0.08","0.00","0.08","0.06","0.25","0.22","0.01","0.00","0.02","0.01","0.96","0.05","0.14","0.14","0.45","0.63","0.19","0.65","0.04","0.45","0.5","0.01","0.92","0.55","0.05","0.21","0.85","0.08","0.07","0.19","0.18","0.18","0.35","0.32","0.32","0.29","0.16","0.35","0.26","0.01","0.00","0.03","0.86","0.43","0.47","0.69","0.08","0.04","0.00","0.00","0.09"
"13","  16","19","FortDodgecity"," 1","0.03","0.34","0.06","0.93","0.03","0.03","0.39","0.41","0.28","0.58","0.00","0.00","0.18","0.42","0.81","0.49","0.62","0.37","0.41","0.21","0.22","0.21","0.16","0.12","0.46","0.28","0.03","0.33","0.30","0.37","0.24","0.32","0.42","0.38","0.48","0.48","0.36","0.50","0.34","0.45","0.49","0.38","0.55","0.60","0.61","0.52","0.64","0.71","0.01","0.19","0.00","0.05","0.04","0.03","0.13","0.00","0.00","0.00","0.01","0.95","0.03","0.14","0.12","0.32","0.39","0.22","0.62","0.04","0.53","0.5","0.04","0.76","0.58","0.41","0.47","0.25","0.24","0.44","0.04","0.04","0.05","0.10","0.13","0.14","0.13","0.40","0.20","0.35","0.01","0.00","0.03","0.85","0.60","0.74","0.78","0.04","0.15","0.04","0.00","0.30"
"14","  17","36","Albanycity"," 1","0.15","0.31","0.40","0.63","0.14","0.06","0.58","0.72","0.65","0.47","0.16","1.00","0.22","0.52","0.10","0.51","0.48","0.39","0.51","0.30","0.29","0.34","0.23","0.13","0.20","0.30","0.15","0.48","0.30","0.38","0.47","0.37","0.44","0.08","0.73","0.21","0.53","0.50","0.94","0.45","0.49","0.36","0.20","0.25","0.25","0.19","0.61","0.65","0.13","0.73","0.05","0.39","0.39","0.46","0.46","0.21","0.19","0.20","0.18","0.81","0.08","0.22","0.13","0.21","0.33","0.22","0.24","0.10","0.60","0.0","0.22","0.64","0.22","0.79","0.60","0.00","0.40","0.26","0.23","0.23","0.23","0.31","0.32","0.36","0.33","0.52","0.35","0.40","0.23","0.02","0.23","0.80","0.41","0.53","0.80","0.06","0.39","0.84","0.88","0.49"
"15","  18","34","Denvilletownship"," 1","0.01","0.53","0.01","0.94","0.20","0.03","0.34","0.39","0.27","0.36","0.02","0.76","0.79","0.77","0.13","0.77","0.44","0.15","0.56","0.75","0.69","0.67","0.38","0.00","0.51","0.62","0.00","0.04","0.10","0.18","0.58","0.11","0.68","0.42","0.37","0.21","0.66","0.25","0.40","0.25","0.26","0.52","0.88","0.88","0.97","0.74","0.51","0.48","0.00","0.04","0.01","0.15","0.26","0.32","0.30","0.09","0.14","0.15","0.13","0.82","0.04","0.20","0.21","0.57","0.58","0.34","0.89","0.04","0.27","0.5","0.01","0.88","0.86","0.25","0.54","0.33","0.03","0.08","0.50","0.49","0.50","0.80","0.76","0.96","0.80","0.69","0.52","0.65","0.00","0.00","0.26","0.64","0.80","0.74","0.73","0.03","0.09","0.21","0.00","0.07"
"16","  19","18","Valparaisocity"," 1","0.02","0.47","0.01","0.97","0.07","0.02","0.70","0.67","0.63","0.37","0.00","0.00","0.33","0.56","0.28","0.62","0.43","0.21","0.40","0.41","0.34","0.32","0.22","0.37","0.69","0.35","0.02","0.22","0.16","0.24","0.45","0.19","0.48","0.36","0.77","0.25","0.56","0.38","0.58","0.43","0.43","0.41","0.66","0.73","0.72","0.63","0.53","0.60","0.01","0.11","0.00","0.40","0.35","0.37","0.39","0.08","0.06","0.06","0.06","0.95","0.01","0.12","0.11","0.33","0.49","0.19","0.54","0.06","0.55","0.5","0.01","0.89","0.46","0.27","0.43","0.50","0.12","0.05","0.14","0.14","0.14","0.27","0.29","0.30","0.30","0.45","0.22","0.28","0.00","0.00","0.08","0.58","0.40","0.49","0.45","0.03","0.20","0.07","0.00","0.15"
"17","  21"," 6","Modestocity"," 1","0.25","0.54","0.05","0.71","0.48","0.30","0.42","0.48","0.28","0.32","0.26","1.00","0.33","0.55","0.37","0.37","0.39","0.64","0.44","0.32","0.29","0.32","0.23","0.17","0.17","0.30","0.19","0.34","0.34","0.43","0.24","0.59","0.43","0.38","0.41","0.43","0.36","0.60","0.35","0.68","0.67","0.60","0.60","0.61","0.64","0.61","0.30","0.30","0.08","0.22","0.14","0.31","0.45","0.57","0.64","0.28","0.36","0.41","0.42","0.64","0.35","0.43","0.39","0.56","0.54","0.60","0.47","0.39","0.48","0.5","0.15","0.83","0.49","0.09","0.16","0.73","0.14","0.28","0.31","0.31","0.31","0.40","0.40","0.45","0.40","0.65","0.59","0.21","0.12","0.09","0.38","0.58","0.31","0.48","0.73","0.09","0.46","0.05","0.76","0.34"
"18","  22","12","Jacksonvillecity"," 1","1.00","0.42","0.47","0.59","0.12","0.05","0.41","0.53","0.34","0.33","1.00","0.99","0.28","0.62","0.16","0.36","0.40","0.30","0.45","0.29","0.30","0.35","0.21","0.20","0.33","0.40","0.76","0.33","0.25","0.39","0.28","0.30","0.59","0.18","0.33","0.35","0.38","0.69","0.41","0.71","0.73","0.47","0.53","0.51","0.59","0.51","0.55","0.56","0.49","0.35","0.16","0.27","0.34","0.40","0.43","0.07","0.07","0.08","0.08","0.90","0.04","0.23","0.20","0.42","0.46","0.40","0.55","0.20","0.49","0.5","1.00","0.60","0.54","0.52","0.44","0.63","0.37","0.23","0.11","0.11","0.13","0.25","0.28","0.32","0.30","0.45","0.41","0.32","0.39","0.36","0.10","0.44","0.45","0.60","0.48","1.00","0.07","0.15","0.31","0.69"
"19","  23","41","KlamathFallscity"," 1","0.01","0.34","0.02","0.87","0.07","0.11","0.49","0.56","0.43","0.47","0.00","0.00","0.13","0.40","0.26","0.42","0.52","0.41","0.41","0.17","0.20","0.20","0.13","0.08","0.18","0.19","0.03","0.58","0.31","0.42","0.24","0.63","0.32","0.45","0.44","0.56","0.34","0.72","0.49","0.69","0.72","0.40","0.49","0.53","0.47","0.68","0.37","0.48","0.01","0.20","0.00","0.48","0.55","0.59","0.56","0.14","0.14","0.13","0.12","0.90","0.10","0.23","0.18","0.32","0.37","0.32","0.38","0.18","0.71","0.0","0.03","0.68","0.38","0.33","0.40","0.23","0.54","0.29","0.06","0.06","0.08","0.14","0.17","0.18","0.16","0.54","0.38","0.42","0.05","0.00","0.12","0.41","0.37","0.51","0.45","0.05","0.09","0.06","0.00","0.21"
"20","  24","19","SiouxCitycity"," 1","0.11","0.43","0.04","0.89","0.09","0.06","0.45","0.48","0.31","0.46","0.13","1.00","0.22","0.52","0.44","0.49","0.56","0.41","0.39","0.25","0.25","0.25","0.16","0.07","0.20","0.22","0.10","0.36","0.29","0.37","0.27","0.33","0.53","0.43","0.47","0.44","0.33","0.48","0.39","0.48","0.50","0.49","0.59","0.61","0.51","0.66","0.68","0.71","0.05","0.26","0.02","0.49","0.59","0.62","0.64","0.11","0.11","0.11","0.10","0.92","0.09","0.27","0.24","0.43","0.48","0.35","0.64","0.12","0.56","0.0","0.09","0.80","0.61","0.45","0.43","0.19","0.34","0.25","0.05","0.04","0.05","0.14","0.17","0.18","0.17","0.44","0.20","0.43","0.05","0.01","0.09","0.72","0.58","0.72","0.64","0.16","0.12","0.07","0.56","0.63"
"21","  26"," 8","Goldencity"," 1","0.00","0.33","0.02","0.91","0.16","0.09","0.55","0.63","0.53","0.31","0.02","1.00","0.29","0.64","0.60","0.57","0.30","0.15","0.41","0.32","0.34","0.34","0.27","0.15","0.15","0.35","0.01","0.30","0.11","0.18","0.54","0.30","0.56","0.33","0.53","0.31","0.58","0.60","0.73","0.66","0.64","0.28","0.58","0.60","0.75","0.59","0.65","0.67","0.00","0.07","0.00","0.79","0.77","0.69","0.61","0.29","0.25","0.20","0.17","0.88","0.03","0.08","0.08","0.24","0.30","0.23","0.49","0.09","0.61","0.0","0.02","0.70","0.47","0.10","0.34","0.65","0.19","0.18","0.22","0.20","0.21","0.32","0.31","0.33","0.28","0.55","0.59","0.39","0.00","0.00","0.15","0.34","0.31","0.36","0.44","0.02","0.15","0.16","0.00","0.12"
"22","  27"," 6","Gardenacity"," 1","0.06","0.49","0.46","0.00","1.00","0.43","0.35","0.50","0.32","0.34","0.08","1.00","0.35","0.68","0.16","0.36","0.36","0.38","0.34","0.34","0.32","0.32","0.38","0.17","0.37","0.33","0.04","0.25","0.35","0.46","0.25","0.35","0.57","0.62","0.23","0.42","0.32","0.55","0.59","0.65","0.62","0.58","0.47","0.47","0.61","0.46","0.56","0.49","0.05","0.49","0.10","0.39","0.47","0.59","0.65","0.80","0.84","0.96","0.97","0.26","0.67","0.46","0.40","0.51","0.48","0.56","0.30","0.81","0.79","0.0","0.05","0.83","0.33","0.08","0.12","0.42","0.15","0.34","0.54","0.52","0.50","0.60","0.57","0.63","0.56","0.62","0.48","0.11","0.00","0.00","0.87","0.39","0.57","0.82","0.72","0.01","0.79","0.21","0.00","0.84"
"23","  28","39","Perrytownship"," 1","0.01","0.37","0.01","0.99","0.02","0.01","0.35","0.38","0.23","0.59","0.00","0.00","0.23","0.38","0.39","0.51","0.64","0.35","0.63","0.24","0.23","0.22","0.23","0.25","0.48","0.51","0.02","0.32","0.30","0.45","0.16","0.34","0.37","0.78","0.35","0.71","0.25","0.51","0.25","0.47","0.50","0.40","0.65","0.68","0.76","0.59","0.27","0.42","0.00","0.06","0.00","0.18","0.13","0.11","0.09","0.02","0.01","0.01","0.01","0.95","0.01","0.13","0.13","0.38","0.41","0.32","0.66","0.03","0.40","0.5","0.02","0.82","0.64","0.30","0.61","0.27","0.33","0.32","0.07","0.06","0.07","0.13","0.14","0.13","0.17","0.42","0.27","0.26","0.00","0.00","0.04","0.82","0.63","0.82","0.82","0.04","0.09","0.00","0.00","0.10"
"24","  29","54","Beckleycity"," 1","0.01","0.27","0.43","0.64","0.08","0.01","0.36","0.33","0.22","0.74","0.00","0.00","0.12","0.10","0.11","0.39","0.84","0.48","0.82","0.21","0.25","0.27","0.16","0.28","1.00","0.86","0.03","0.57","0.46","0.49","0.30","0.54","0.13","0.05","0.77","0.18","0.57","0.61","0.33","0.58","0.63","0.35","0.41","0.44","0.42","0.55","0.23","0.40","0.01","0.29","0.00","0.10","0.10","0.13","0.14","0.01","0.01","0.01","0.01","0.94","0.03","0.16","0.13","0.26","0.26","0.30","0.53","0.07","0.53","0.5","0.06","0.50","0.54","0.30","0.85","0.29","0.48","0.22","0.07","0.07","0.09","0.10","0.14","0.16","0.15","0.62","0.36","0.26","0.01","0.00","0.05","0.82","0.68","0.79","0.78","0.02","0.17","0.00","0.00","0.49"
"25","  31"," 1","Cullmancity"," 1","0.01","0.30","0.00","0.99","0.02","0.01","0.38","0.37","0.27","0.74","0.00","0.00","0.16","0.24","0.24","0.41","0.73","0.53","0.49","0.21","0.25","0.24","0.00","0.12","0.29","0.04","0.02","0.45","0.62","0.61","0.26","0.24","0.27","0.45","0.37","0.50","0.42","0.54","0.22","0.54","0.57","0.28","0.63","0.63","0.75","0.60","0.35","0.54","0.00","0.05","0.00","1.00","0.81","0.87","0.74","0.02","0.01","0.02","0.01","0.98","0.02","0.06","0.06","0.27","0.33","0.23","0.53","0.05","0.46","0.5","0.01","0.80","0.50","0.10","0.38","0.54","0.37","0.07","0.10","0.10","0.11","0.06","0.09","0.11","0.12","0.58","0.25","0.28","0.00","0.00","0.00","0.82","0.54","0.72","0.76","0.04","0.07","0.01","0.00","0.16"
"26","  32","19","DesMoinescity"," 1","0.29","0.34","0.14","0.84","0.14","0.04","0.40","0.52","0.35","0.42","0.31","1.00","0.25","0.57","0.32","0.47","0.49","0.34","0.47","0.28","0.29","0.30","0.22","0.15","0.16","0.31","0.22","0.33","0.19","0.31","0.29","0.28","0.60","0.28","0.40","0.39","0.34","0.63","0.44","0.62","0.65","0.41","0.51","0.53","0.54","0.55","0.70","0.74","0.12","0.29","0.04","0.34","0.38","0.45","0.52","0.07","0.07","0.08","0.08","0.91","0.07","0.20","0.17","0.33","0.40","0.25","0.58","0.12","0.63","0.0","0.26","0.78","0.54","0.84","0.51","0.29","0.24","0.25","0.08","0.07","0.07","0.25","0.27","0.28","0.27","0.53","0.39","0.49","0.18","0.04","0.09","0.78","0.53","0.72","0.74","0.22","0.21","0.20","0.00","0.19"
"27","  33"," 1","Auburncity"," 1","0.04","0.37","0.32","0.70","0.21","0.02","1.00","1.00","1.00","0.14","0.05","1.00","0.02","0.77","0.57","0.47","0.13","0.11","0.16","0.32","0.17","0.19","0.16","0.07","0.21","0.22","0.11","1.00","0.18","0.18","0.82","0.42","0.23","0.19","1.00","0.25","0.67","0.09","1.00","0.16","0.13","0.38","0.55","0.53","0.59","0.54","0.68","0.69","0.03","0.69","0.01","1.00","0.91","0.86","0.80","0.29","0.23","0.20","0.17","0.90","0.05","0.14","0.07","0.25","0.41","0.22","0.24","0.14","0.71","0.0","0.06","0.66","0.21","0.07","0.24","0.77","0.27","0.10","0.16","0.16","0.18","0.18","0.21","0.26","0.21","1.00","0.16","0.24","0.00","0.00","0.12","0.49","0.12","0.00","0.15","0.09","0.09","0.01","0.00","0.15"
"28","  34","51","Lynchburgcity"," 1","0.09","0.43","0.51","0.58","0.04","0.01","0.58","0.56","0.50","0.52","0.10","1.00","0.20","0.42","0.21","0.44","0.65","0.36","0.52","0.24","0.26","0.31","0.19","0.22","0.14","0.26","0.09","0.43","0.47","0.53","0.34","0.36","0.38","0.44","0.63","0.43","0.42","0.48","0.53","0.50","0.52","0.39","0.41","0.42","0.44","0.48","0.57","0.62","0.07","0.48","0.01","0.72","0.75","0.67","0.61","0.08","0.08","0.06","0.05","0.96","0.02","0.18","0.16","0.34","0.38","0.32","0.50","0.08","0.51","0.5","0.11","0.69","0.49","0.33","0.51","0.44","0.42","0.17","0.08","0.09","0.11","0.12","0.18","0.21","0.19","0.40","0.18","0.35","0.03","0.00","0.04","0.72","0.56","0.56","0.60","0.14","0.11","0.19","0.60","0.31"
"29","  36","18","Evansvillecity"," 1","0.19","0.30","0.19","0.84","0.03","0.01","0.36","0.46","0.30","0.56","0.20","1.00","0.19","0.44","0.19","0.46","0.60","0.35","0.50","0.23","0.25","0.26","0.20","0.13","0.31","0.35","0.16","0.38","0.38","0.48","0.22","0.45","0.43","0.46","0.43","0.53","0.31","0.69","0.37","0.67","0.71","0.36","0.47","0.49","0.49","0.45","0.64","0.66","0.09","0.32","0.01","0.44","0.42","0.55","0.50","0.03","0.02","0.03","0.02","0.96","0.04","0.14","0.12","0.29","0.35","0.24","0.53","0.09","0.67","0.0","0.28","0.63","0.50","0.37","0.56","0.27","0.40","0.13","0.06","0.06","0.06","0.16","0.17","0.19","0.18","0.46","0.24","0.37","0.05","0.01","0.02","0.71","0.58","0.78","0.75","0.12","0.26","0.09","0.34","0.24"
